client_code,date,amount,currency,type,category,description,balance,merchant
CLIENT_002,2025-05-10,123927.54867619088,KZT,credit,конвертация,Транзакция конвертация на сумму 123927.55 ₸,546412.688082479,Merchant_63
CLIENT_002,2025-07-08,-28949.50090528864,KZT,debit,золото,Транзакция золото на сумму 28949.50 ₸,517463.18717719044,Merchant_1
CLIENT_002,2025-09-02,76125.23532285575,KZT,credit,кафе,Транзакция кафе на сумму 76125.24 ₸,593588.4225000462,Merchant_7
CLIENT_002,2025-03-23,125958.92531916048,KZT,fx_buy,fx_buy,Транзакция fx_buy на сумму 125958.93 ₸,719547.3478192067,Merchant_46
CLIENT_002,2025-05-23,88888.46137169257,KZT,credit,авиабилет,Транзакция авиабилет на сумму 88888.46 ₸,808435.8091908993,Merchant_96
CLIENT_002,2025-03-27,57802.43551907361,KZT,credit,продукты,Транзакция продукты на сумму 57802.44 ₸,866238.2447099729,Merchant_26
CLIENT_002,2025-09-11,-49653.85249628843,KZT,debit,кафе,Транзакция кафе на сумму 49653.85 ₸,816584.3922136844,Merchant_20
CLIENT_002,2025-05-07,51210.5439686166,KZT,credit,туризм,Транзакция туризм на сумму 51210.54 ₸,867794.936182301,Merchant_10
CLIENT_002,2025-07-06,53940.02875033382,KZT,credit,премиум,Транзакция премиум на сумму 53940.03 ₸,921734.9649326348,Merchant_12
CLIENT_002,2025-08-21,-32546.303438223305,KZT,debit,авиабилет,Транзакция авиабилет на сумму 32546.30 ₸,889188.6614944115,Merchant_75
CLIENT_002,2025-06-09,-48660.75560935263,KZT,debit,currency exchange,Транзакция currency exchange на сумму 48660.76 ₸,840527.9058850589,Merchant_29
CLIENT_002,2025-09-01,-38540.022605232145,KZT,debit,health,Транзакция health на сумму 38540.02 ₸,801987.8832798267,Merchant_66
CLIENT_002,2025-04-24,-30569.72528580709,KZT,debit,топ-категории,Транзакция топ-категории на сумму 30569.73 ₸,771418.1579940197,Merchant_59
CLIENT_002,2025-04-16,-17754.8073234974,KZT,debit,perfume,Транзакция perfume на сумму 17754.81 ₸,753663.3506705223,Merchant_33
CLIENT_002,2025-08-19,-45901.26112245396,KZT,debit,jewelry,Транзакция jewelry на сумму 45901.26 ₸,707762.0895480684,Merchant_84
CLIENT_002,2025-09-01,-27430.2335001469,KZT,debit,золото,Транзакция золото на сумму 27430.23 ₸,680331.8560479215,Merchant_60
CLIENT_002,2025-07-22,-30484.04614298315,KZT,debit,hotel,Транзакция hotel на сумму 30484.05 ₸,649847.8099049383,Merchant_41
CLIENT_002,2025-04-27,-9616.141457899079,KZT,debit,eur,Транзакция eur на сумму 9616.14 ₸,640231.6684470392,Merchant_22
CLIENT_002,2025-07-25,94349.80051462943,KZT,fx_buy,fx_buy,Транзакция fx_buy на сумму 94349.80 ₸,734581.4689616687,Merchant_52
CLIENT_002,2025-09-11,115293.56433009323,KZT,credit,приложения,Транзакция приложения на сумму 115293.56 ₸,849875.0332917619,Merchant_34
CLIENT_002,2025-07-04,-44825.9374264755,KZT,debit,ювелирные,Транзакция ювелирные на сумму 44825.94 ₸,805049.0958652864,Merchant_47
CLIENT_002,2025-07-02,136241.93800874217,KZT,credit,метро,Транзакция метро на сумму 136241.94 ₸,941291.0338740286,Merchant_90
CLIENT_002,2025-07-01,-6245.910001400207,KZT,debit,ювелирные,Транзакция ювелирные на сумму 6245.91 ₸,935045.1238726284,Merchant_24
CLIENT_002,2025-07-12,31506.408374923045,KZT,credit,ювелирные,Транзакция ювелирные на сумму 31506.41 ₸,966551.5322475515,Merchant_29
CLIENT_002,2025-08-12,132005.20531764568,KZT,credit,uber,Транзакция uber на сумму 132005.21 ₸,1098556.737565197,Merchant_89
CLIENT_002,2025-06-13,-24922.649117585217,KZT,debit,jewelry,Транзакция jewelry на сумму 24922.65 ₸,1073634.0884476118,Merchant_51
CLIENT_002,2025-05-27,124417.00134637566,KZT,credit,apps,Транзакция apps на сумму 124417.00 ₸,1198051.0897939873,Merchant_88
CLIENT_002,2025-04-30,98154.69431916799,KZT,credit,парфюм,Транзакция парфюм на сумму 98154.69 ₸,1296205.7841131552,Merchant_7
CLIENT_002,2025-08-19,146420.88632186514,KZT,credit,ресторан,Транзакция ресторан на сумму 146420.89 ₸,1442626.6704350202,Merchant_56
CLIENT_002,2025-04-07,-49689.82893941914,KZT,debit,entertainment,Транзакция entertainment на сумму 49689.83 ₸,1392936.841495601,Merchant_43
CLIENT_002,2025-07-29,59990.438086452545,KZT,credit,музыка,Транзакция музыка на сумму 59990.44 ₸,1452927.2795820534,Merchant_7
CLIENT_002,2025-08-15,-11190.11918209193,KZT,debit,sport,Транзакция sport на сумму 11190.12 ₸,1441737.1603999615,Merchant_7
CLIENT_002,2025-04-12,-20160.940977927537,KZT,debit,игры,Транзакция игры на сумму 20160.94 ₸,1421576.219422034,Merchant_63
CLIENT_002,2025-07-14,125267.82677646521,KZT,credit,health,Транзакция health на сумму 125267.83 ₸,1546844.0461984992,Merchant_62
CLIENT_002,2025-05-25,-47307.52245387256,KZT,debit,entertainment,Транзакция entertainment на сумму 47307.52 ₸,1499536.5237446267,Merchant_78
CLIENT_002,2025-03-22,-29196.865791152155,KZT,debit,кафе,Транзакция кафе на сумму 29196.87 ₸,1470339.6579534744,Merchant_65
CLIENT_002,2025-09-08,-7633.7219755071865,KZT,debit,eur,Транзакция eur на сумму 7633.72 ₸,1462705.9359779672,Merchant_66
CLIENT_002,2025-04-09,-36146.24442175815,KZT,debit,luxury,Транзакция luxury на сумму 36146.24 ₸,1426559.691556209,Merchant_93
CLIENT_002,2025-04-15,-42302.4114791921,KZT,debit,software,Транзакция software на сумму 42302.41 ₸,1384257.280077017,Merchant_79
CLIENT_002,2025-05-10,-44124.14336396957,KZT,debit,золото,Транзакция золото на сумму 44124.14 ₸,1340133.1367130473,Merchant_89
CLIENT_002,2025-08-13,-29903.145393742467,KZT,debit,образование,Транзакция образование на сумму 29903.15 ₸,1310229.9913193048,Merchant_70
CLIENT_002,2025-05-08,94383.60232823313,KZT,credit,стриминг,Транзакция стриминг на сумму 94383.60 ₸,1404613.593647538,Merchant_17
CLIENT_002,2025-08-20,-21961.334220309578,KZT,debit,косметика,Транзакция косметика на сумму 21961.33 ₸,1382652.2594272285,Merchant_18
CLIENT_002,2025-08-27,-19579.282788488712,KZT,debit,приложения,Транзакция приложения на сумму 19579.28 ₸,1363072.9766387397,Merchant_41
CLIENT_002,2025-07-14,146288.24432606052,KZT,credit,education,Транзакция education на сумму 146288.24 ₸,1509361.2209648,Merchant_60
CLIENT_002,2025-08-25,-10254.644699651531,KZT,debit,eur,Транзакция eur на сумму 10254.64 ₸,1499106.5762651486,Merchant_45
CLIENT_002,2025-06-04,129760.13842392238,KZT,credit,парфюм,Транзакция парфюм на сумму 129760.14 ₸,1628866.714689071,Merchant_22
CLIENT_002,2025-08-04,143659.17044852028,KZT,credit,продукты,Транзакция продукты на сумму 143659.17 ₸,1772525.8851375913,Merchant_56
CLIENT_002,2025-05-30,90865.46044636086,KZT,credit,транспорт,Транзакция транспорт на сумму 90865.46 ₸,1863391.345583952,Merchant_1
CLIENT_002,2025-07-30,89317.93312526522,KZT,credit,топ-категории,Транзакция топ-категории на сумму 89317.93 ₸,1952709.2787092172,Merchant_78
CLIENT_002,2025-04-10,121991.01008931926,KZT,credit,магазин,Транзакция магазин на сумму 121991.01 ₸,2074700.2887985364,Merchant_23
CLIENT_002,2025-05-25,-32650.424903989424,KZT,debit,парфюм,Транзакция парфюм на сумму 32650.42 ₸,2042049.8638945469,Merchant_79
CLIENT_002,2025-08-27,-17519.862761306555,KZT,debit,софт,Транзакция софт на сумму 17519.86 ₸,2024530.0011332403,Merchant_82
CLIENT_002,2025-09-01,-9002.865773864894,KZT,debit,книги,Транзакция книги на сумму 9002.87 ₸,2015527.1353593755,Merchant_66
CLIENT_002,2025-07-15,-28312.27252422895,KZT,debit,премиум,Транзакция премиум на сумму 28312.27 ₸,1987214.8628351465,Merchant_87
CLIENT_002,2025-08-08,-48978.008067735595,KZT,debit,бензин,Транзакция бензин на сумму 48978.01 ₸,1938236.8547674108,Merchant_99
CLIENT_002,2025-03-23,-5659.248040314294,KZT,debit,books,Транзакция books на сумму 5659.25 ₸,1932577.6067270965,Merchant_67
CLIENT_002,2025-06-07,-42105.569266800696,KZT,debit,отдых,Транзакция отдых на сумму 42105.57 ₸,1890472.0374602957,Merchant_37
CLIENT_002,2025-09-14,56581.189709533784,KZT,credit,currency exchange,Транзакция currency exchange на сумму 56581.19 ₸,1947053.2271698294,Merchant_47
CLIENT_002,2025-07-27,147237.75958716508,KZT,credit,premium,Транзакция premium на сумму 147237.76 ₸,2094290.9867569944,Merchant_57
CLIENT_002,2025-04-01,-30782.130378720067,KZT,debit,супермаркет,Транзакция супермаркет на сумму 30782.13 ₸,2063508.8563782743,Merchant_75
CLIENT_002,2025-06-28,-25941.692956790932,KZT,debit,music,Транзакция music на сумму 25941.69 ₸,2037567.1634214832,Merchant_43
CLIENT_002,2025-08-01,68646.97303343794,KZT,credit,кафе,Транзакция кафе на сумму 68646.97 ₸,2106214.136454921,Merchant_20
CLIENT_002,2025-04-27,147514.39925926997,KZT,credit,топ-категории,Транзакция топ-категории на сумму 147514.40 ₸,2253728.5357141914,Merchant_27
CLIENT_002,2025-09-06,132290.0433317992,KZT,credit,люкс,Транзакция люкс на сумму 132290.04 ₸,2386018.5790459905,Merchant_34
CLIENT_002,2025-09-11,100125.08088583905,KZT,credit,валюта,Транзакция валюта на сумму 100125.08 ₸,2486143.6599318297,Merchant_87
CLIENT_002,2025-09-08,-47696.90355948309,KZT,debit,фитнес,Транзакция фитнес на сумму 47696.90 ₸,2438446.7563723465,Merchant_58
CLIENT_002,2025-08-23,-12555.405777123377,KZT,debit,туризм,Транзакция туризм на сумму 12555.41 ₸,2425891.3505952233,Merchant_1
CLIENT_002,2025-07-14,-38459.075110526384,KZT,debit,магазин,Транзакция магазин на сумму 38459.08 ₸,2387432.275484697,Merchant_72
CLIENT_002,2025-08-19,-27632.87428570262,KZT,debit,ювелирные,Транзакция ювелирные на сумму 27632.87 ₸,2359799.4011989944,Merchant_71
CLIENT_002,2025-08-04,32375.631840161575,KZT,credit,супермаркет,Транзакция супермаркет на сумму 32375.63 ₸,2392175.033039156,Merchant_97
CLIENT_002,2025-05-29,-13528.628098564337,KZT,debit,золото,Транзакция золото на сумму 13528.63 ₸,2378646.4049405917,Merchant_88
CLIENT_002,2025-05-01,-46493.04745794931,KZT,debit,кафе,Транзакция кафе на сумму 46493.05 ₸,2332153.3574826424,Merchant_42
CLIENT_002,2025-04-02,-40536.44009092944,KZT,debit,entertainment,Транзакция entertainment на сумму 40536.44 ₸,2291616.917391713,Merchant_97
CLIENT_002,2025-07-02,51075.20784790405,KZT,credit,парфюм,Транзакция парфюм на сумму 51075.21 ₸,2342692.1252396167,Merchant_71
CLIENT_002,2025-04-11,-37222.79974442818,KZT,debit,золото,Транзакция золото на сумму 37222.80 ₸,2305469.3254951886,Merchant_15
CLIENT_002,2025-04-20,34557.03470793106,KZT,credit,отдых,Транзакция отдых на сумму 34557.03 ₸,2340026.3602031195,Merchant_67
CLIENT_002,2025-09-03,89247.6294415521,KZT,credit,путешествие,Транзакция путешествие на сумму 89247.63 ₸,2429273.989644672,Merchant_74
CLIENT_002,2025-08-03,64095.80968066227,KZT,credit,games,Транзакция games на сумму 64095.81 ₸,2493369.799325334,Merchant_96
CLIENT_002,2025-05-09,-49819.64236826522,KZT,debit,косметика,Транзакция косметика на сумму 49819.64 ₸,2443550.1569570685,Merchant_92
CLIENT_002,2025-05-02,-35897.11549739024,KZT,debit,образование,Транзакция образование на сумму 35897.12 ₸,2407653.041459678,Merchant_99
CLIENT_002,2025-04-02,-28843.50760161914,KZT,debit,метро,Транзакция метро на сумму 28843.51 ₸,2378809.533858059,Merchant_1
CLIENT_002,2025-04-09,-20869.166883881753,KZT,debit,yandex,Транзакция yandex на сумму 20869.17 ₸,2357940.3669741773,Merchant_88
CLIENT_002,2025-09-06,50424.75852213076,KZT,credit,автобус,Транзакция автобус на сумму 50424.76 ₸,2408365.125496308,Merchant_5
CLIENT_002,2025-06-05,58280.119782425,KZT,credit,развлечения,Транзакция развлечения на сумму 58280.12 ₸,2466645.245278733,Merchant_12
